ApplicantID,CertificateCount
3,1
13,1
14,1
22,7
25,1
26,1
67,5
69,1
75,1
95,3
97,1
99,1
124,1
134,1
153,1
155,2
200,2
232,1
238,5
241,1
267,1
268,1
275,1
289,1
295,1
308,1
311,1
315,1
317,3
320,2
325,3
326,1
333,3
347,9
353,1
362,1
370,9
385,1
386,1
387,1
406,5
408,1
417,1
425,2
433,2
439,4
448,1
449,2
451,1
463,1
464,1
491,1
510,5
511,1
519,1
526,1
527,1
528,2
531,2
534,3
542,2
553,1
562,7
567,2
575,1
589,2
594,4
600,1
605,3
616,4
621,1
631,2
633,1
643,1
649,1
654,4
675,2
676,1
688,1
702,3
708,1
709,1
710,2
720,2
721,1
729,1
731,1
733,1
738,2
741,2
748,1
765,4
767,2
768,2
775,1
797,5
807,1
813,1
850,1
858,6
866,4
873,1
886,1
892,7
898,1
910,1
917,1
949,4
967,4
984,1
1021,2
1052,1
1053,1
1068,3
1069,2
1080,2
1101,1
1127,3
1131,1
1171,7
1175,1
1300,1
1305,3
1324,1
1340,1
1341,2
1379,1
1393,1
1419,1
1455,4
1464,1
1480,1
1502,6
1528,2
1535,1
1557,1
1566,1
1567,1
1599,1
1619,2
1649,1
1679,1
1680,1
1707,1
1730,5
1802,2
1806,7
1847,2
1861,1
1873,4
1882,7
1898,3
1908,1
1950,1
1952,4
1958,1
1973,2
1987,2
1998,1
2004,1
2016,1
2022,1
2024,1
2033,2
2054,1
2066,1
2078,1
2090,2
2104,1
2111,1
2117,3
2121,6
2122,2
2123,3
2128,2
2147,1
2154,1
2156,3
2159,2
2164,2
2174,1
2209,1
2212,1
2214,2
2221,2
2222,1
2225,1
2237,1
2245,3
2253,5
3280,1
3289,1
3315,1
3330,5
3340,1
3341,1
3344,1
3355,1
3358,1
3361,2
3367,2
3382,10
3385,1
3386,3
3387,3
3394,1
3404,1
3414,2
3427,1
3438,1
3449,1
3456,4
3475,1
3476,1
3490,3
3491,1
3492,1
3498,2
3502,1
3536,7
3567,1
3600,1
3612,5
3648,2
3662,1
3668,1
3671,1
3691,5
3726,1
3734,2
3747,2
3757,1
3762,1
3767,1
3776,1
3784,5
3789,1
3795,1
3846,1
3875,1
3888,2
3902,2
3905,1
3914,1
3936,2
3979,1
3983,1
3986,2
4013,1
4021,3
4032,3
4054,2
4080,1
4084,1
4096,4
4112,1
4113,1
4151,2
4154,1
4156,1
4168,1
4172,1
4174,3
4177,1
4182,2
4189,2
4196,1
4201,2
4234,1
4277,1
4279,1
4316,3
4325,2
4350,1
4357,2
4397,1
4400,1
4416,1
4425,1
4428,1
4446,1
4449,1
4453,1
4455,2
4459,1
4460,1
4471,3
4478,1
4480,1
4484,1
4489,4
4493,1
4502,1
4520,1
4521,1
4532,1
4551,2
4569,7
4641,1
4650,1
4689,1
4690,1
4702,1
4713,1
4723,1
4738,1
4754,2
4775,1
4776,1
4785,6
4789,4
4803,1
4807,3
4830,2
4831,1
4870,1
4895,1
4898,2
4907,2
4922,1
4940,1
4941,1
4958,1
4969,1
4993,5
5121,1
5173,1
5177,2
5178,1
5206,1
5232,2
5250,3
5259,2
5260,1
5284,3
5295,3
5301,1
5312,2
5321,1
5325,1
5326,1
5331,1
5332,3
5333,1
5334,1
5337,1
5344,4
5347,4
5352,2
5362,1
5363,3
5365,1
5366,5
5381,1
5406,5
5436,2
5448,1
5480,1
5485,1
5513,1
5536,1
5556,1
5571,2
5584,6
5606,2
5611,2
5615,1
5636,1
5653,1
5671,1
5680,1
5695,1
5722,3
5728,1
5736,5
5756,1
5760,1
5788,2
5802,2
5814,1
5831,2
5844,3
5860,3
5867,1
5892,5
5905,2
5937,1
5939,4
5943,3
5947,1
5996,2
6001,1
6055,1
6062,1
6071,1
6072,2
6073,1
6079,1
6090,1
6097,6
6102,2
6118,1
6125,1
6129,1
6138,1
6144,1
6171,1
6197,2
6210,1
6225,3
6227,1
6230,1
6234,1
6236,1
6267,4
6269,2
6281,3
6285,1
6287,5
6289,1
6313,1
6314,1
6315,3
6316,1
6318,2
6328,1
6330,1
6332,4
6338,1
6341,1
6346,1
6347,2
6353,1
6378,1
6387,3
6391,1
6402,1
6403,1
6417,1
6418,1
6419,1
6450,1
6451,2
6482,1
6494,1
6502,1
6503,1
6510,4
6524,1
6529,1
6532,1
6549,2
6570,1
6580,1
6599,1
6604,1
6661,1
6664,1
6668,1
6678,1
6706,1
6709,1
6712,1
6759,1
6788,2
6798,1
6801,7
6803,1
6807,2
6813,1
6829,1
6835,1
6838,7
6848,3
6859,1
6864,1
6884,1
6893,1
6909,1
6922,1
6938,2
6956,2
6976,4
6980,1
6996,1
7002,2
7022,1
7026,2
7027,1
7060,2
7070,1
7081,1
7083,2
7088,1
7100,3
7118,1
7132,1
7144,1
7149,1
7162,1
7184,1
7217,1
7418,1
7439,1
7452,1
7513,1
7520,1
7528,1
7530,2
7571,1
7591,4
7648,3
7663,1
7665,1
7688,1
7698,1
7700,1
7711,2
7713,1
7718,1
7721,1
7722,6
7745,1
7758,2
7773,2
7782,1
7797,1
7810,1
7815,1
7829,2
7838,5
7858,2
7866,4
7876,1
7881,1
7899,1
7952,3
7976,1
7990,3
7993,1
8008,1
8023,3
8024,1
8027,2
8028,2
8039,1
8043,7
8046,1
8069,1
8072,7
8091,1
8109,2
8111,4
8117,1
8123,1
8129,4
8132,3
8144,3
8145,1
8153,1
8154,2
8161,1
8173,1
8196,1
8199,2
8247,1
8250,3
8264,2
8279,1
8280,1
8292,3
8335,1
8345,1
8346,1
8348,1
8350,2
8389,1
8397,1
8400,1
8442,3
8480,3
8487,1
8496,1
8498,4
8518,1
8539,3
8564,3
8578,1
8594,1
8629,1
8652,1
8675,3
8687,1
8728,2
8803,2
8811,1
8815,4
8850,1
8863,2
8885,1
8902,2
8923,2
8931,1
8941,2
8948,1
8950,1
8959,3
8990,3
8992,1
9004,1
9011,1
9015,1
9017,1
9046,1
9048,1
9049,1
9058,5
9061,1
9083,1
9085,1
9089,3
9105,1
9129,1
9133,1
9134,2
9143,7
9147,1
9153,3
9161,1
9180,2
9182,1
9183,4
9189,1
9193,3
9197,1
9225,1
9232,1
9234,1
9241,5
9252,2
9254,3
9257,1
9272,2
9287,4
9330,2
9385,4
9393,7
9431,21
9436,1
9437,1
9449,1
9465,1
9490,1
9531,3
9542,2
9565,2
9571,1
9576,3
9599,3
9616,1
9625,1
9631,2
9668,1
9671,2
9684,1
9691,1
9696,1
9713,1
9737,1
9751,4
9780,1
9790,1
9805,1
9830,2
9840,1
9843,1
9846,3
9870,1
9873,1
9885,3
9911,1
9946,1
9985,1
10061,1
10102,1
10138,1
10139,2
10146,3
10174,1
10183,1
10244,1
10280,1
10295,1
10299,1
10301,1
10305,10
10327,3
10336,1
10342,1
10379,1
10382,1
10501,1
10517,1
10602,3
10685,1
10692,7
10717,2
10718,4
10721,1
10762,3
10769,3
10787,2
10919,2
10975,1
11019,1
11077,2
11095,1
11111,2
11113,5
11143,1
11175,1
11204,1
11235,1
11251,2
11263,1
11272,2
11326,1
11398,1
11399,1
11409,1
11446,1
11501,2
11562,1
11580,1
11597,1
11617,2
11657,2
11665,1
11680,1
11695,1
11698,1
11730,1
11734,2
11755,3
11772,1
11795,1
11801,1
11839,4
11842,1
11857,1
11909,3
11915,1
11921,1
11974,4
11976,2
12009,4
12019,1
12026,2
12045,1
12057,3
12081,1
12101,1
12116,4
12118,2
12123,1
12138,1
12148,2
