ApplicantID,Industry,CompanyName,JobDescription,Position,Salary,YearsOfExperience
1,jasa kawal angkut uang tunai architect consultant,pt wiratanu persada tama green building widya kartika,pembuatan kontrak kerja penilaian kinerja karyawan rekap absensi karyawan cabang data entry email latter arsip dokumen update biodata karyawan hardcopy dan softcopy indentitas karyawan ktp ijazah sim bpjs npwp dll responsible to make shop drawing and assbuild drawing in responsible to drawing interior building and landscape responsible to check suitability project field with the shop drawing responsible to finishing render using photoshop or corelddraw,staff hrd freelance drafter,3500000,4
3,telekomunikasi retail service,pt icool international pt dbl indonesia pt maybank indonesia finance,maintenance dealer cek stock dealer apakah masih tersedia melakukan analisa untuk penempatan promotor di sebuah dealer melakukan push kepada promotor dan membantu promotor untuk meningkatkan penjualan sell out melakukan kerjasama dengan pihak sekolah untuk menjual merchandise dr product dbl melakukan penjualan ke komunitas komunitas basket surabaya melakukan analisa kelayakan kredit mobil konsumen input data konsumen maintenance dealer dengan baik memonitor penjualan,sales executive whole sales credit marketing officer,3666666,1
10,event organizer perhotelan,victory event organizer country heritage hotel surabaya,bertugas sebagai marketing yang juga merangkap sebagai administrasi event bertugas sebagai receptionist sekaligus merangkap sebagai night audit,marketing administrasi front desk agent night audit,3200000,2
13,rudi,mr,,it,0,0
18,pemerintahan pendidikan pendidikan,badan pusat statistik kabupaten trenggalek bimbingan belajar sigma ponorogo bimbingan belajar nurul ilmi ponorogo,membuat berkas sensus pemutakhiran basis data terpadu pbdt membuat dan mengupload poster sensus pertanian membuat rencana strategis renstra kabupaten trenggalek entry data survei penduduk antar sensus supas membuat katalog publikasi statistik daerah kabupaten trenggalek entry data sensus pemutakhiran basis data terpadu pbdt segala administrasi bimbel meliputipelayanan konsultasi pendaftaran siswa baru pembayaran siswa penggajian tentor penjadwalan siswa dan tentor tentor mata pelajaran matematika pembayaran siswa dan penggajian tentor penjadwalan siswa dan tentor tentor matematika untuk tingkat smp sma dan intensif sbmptn segala administrasi bimbel,staff bagian statistik owner administrasi dan tentor,900000,3
21,it it,pt gaea global solusi cv isocorp technology,scope of responsibility analysing and develop property management system that focused on front office and housekeeping module bug fixing existing module training and system implementation technology stack javamavenspring frameworkhibernate frameworkmysqljspjqueryjasper reportglassfishgit scope of resposibility create android apps from customers and modify existing apps if there are additional features technology stack javaandroid studiofirebase notificationrealmviper architecturegitscrum,java web developer android developer native,3300000,3
22,pendidikan manufaktur,widya mandala pt indoyoke,mengajar ekonomi manajerial ,asisten dosen supervisor,3500000,2
25,software house software house,pt hiro technology pt tempo inti media,trouble shooting computer programmer maintenace progam trouble shooting computer programmer maintenace progam analyst progam,junior progammer progammer and analyst,4500000,2
26,building material  houseware distributor,pt arga bangun indah,recruitment trainingtanggung jawab utamao menjalankan fungsi recruitment mulai dari permintaan tenaga kerja jobposting proses seleksi administrasi interview psikotes analisis hasil seleksihingga karyawan baru masuko melakukan pelaporan mengenai progress recruitmento membuat laporan hasil analisis psikologio mengelola data aset kendaraan operasional perusahaan dan maintenancenyao mengelola dan menyiapkan berkas dokumen kelengkapan legalitasperusahaan yang dibutuhkan untuk perijinan melakukan pendampingan dan evaluasi kinerja untuk karyawan baruo melakukan company induction kepada karywan baruo menyusun standard interview qustiono menyusun modul pelatihan untuk karyawano membantu hrd manager untuk menyusun training sesuai kebutuhanperusahaano memberikan menyampaikan materi training kepada karyawanachievementso memperbarui alat tes dan menjalankan tertib administrasi tes psikologio menyusun prosedur rekrutmeno membantu menyusun dan menerapkan sistem hriso membuat form pre interview online untuk bisa menyaring kandidat yang lebihsesuai dengan kebutuhan perusahaano menyusun program promosi jabatan arga lead program menyusun jobdesk yang lebih relevan updateo menyusun kpi yang lebih relevan dengan jobdesk,hr recruitment training staff,3700000,0
27,peternakan,pt wonokoyo jaya corporindo,mengerjakan laporan rekonsiliasi farmkoordinasi dengan pihak farm terkait jadwal doc dan panenmemeriksa transaksi pembayaran beserta bukti buktinyamengerjakan laporan payroll karyawan farmmembuatkan bkk bkmmengerjakan hutang dan piutang terkait biaya operasinal farmupdate karyawan,checker,4500000,4
28,consumer goods trading export furniture,pt indofood sukses makmur flour division bogasari  pt basicraft,following up every complaints coordinating with qa and salesmen for every complaints making summary report on how is the performance of complaint handling as well as partner performance which support the operational of the company present the report to the management at the end of training handling overseas accounts starting from placing order until making shipment planning communicate directly to customers and reporting to department manager making sure every pos are on time by monitoring the factory meeting with clients for every qc inspections for new products,marketing trainee customer representative account manager,2000000,1
29,developerproperty,abdael nusa group,membuat rab,qs,4000000,0
62,pendidikan,smk st louis,mengelola surat masuk dan keluar beserta ekspedisinyamelaksanakan pengetikan penggandaan dokumen konsep format melaksanakan pengarsipan dokumen dokumen ijazahmengurus pelaksanaan rapat undangan rapat sampai notulen rapatmembantu menyiapkan data statistik sekolahmengadministrasikan kegiatan kerjasama industrimenyusun laporan hasil kerja kepada atasan langsung,tata usaha,2900000,0
67,pelayanan hukum,lembaga studi kajian dan bantuan hukum,membantu advokat dalam melakukan pekerjaannya,staff magang,0,1
69,konsultasi pendidikan digital printing,psikologi unair pelangi komputer, ,tester operator komputer,0,1
70,teknologi teknologi,pt adicipta dinamika inovasi teknologi badan pengkajian dan penerapan teknologi,membuat website yg terintegrasi dgn database untuk pengadaan barang membuat dan mengimplementasikan algoritma penjaminan kualitas data online monitoring kualitas air pada website,web developer tim pengembang,1500000,0
71,kesehatan kontraktor,global inatitusi maju group,payroll evaluasi karyawan surat menyurat payroll pengurusan bpjs karyawan surat menyurat karyawan pengurusan ke depnaker pengurusam adm karyawan data data karyawan,admin hrd hrd,3750000,0
81,provider,pt indosat tbk,sebagai account manager yang menangani penjualan dan menjaga terjadinya komplain serta mengatasi komplain dari customer di bidang korporasi dan bisa goverment,account manager,4500000,5
97,consulting retail  ekspedisi  furniture  properti  finance,anima konsultan malang nusantara surya sakti nss group,freeline job melakukan rekrutmen dan seleksi sdm menyediakan sdm sesuai dengan kwalifikasi yang di butuhkan oleh perusahaan melakukan psikotes skoring dan administrasi psikotes melakukan rekrutmen sdm melakukan seleksi sdm psikotes dan administrasi psikotes membuat penilaian kerja kpi sdm secara berkala menyiapkan offering loc dan kontrak kerja sdm bertanggungjawab atas pemenuhan mpp tiap divisi dan cabang melakukan input data ke ksystem perusahaan administrasi berkas sdm sesuai dengan standart perusahaan,freeline tester hrd r a off,2425000,1
99,manufacture glassware,pt kedawung surya industrial,hutang dagang entry data pembelian dan penjualan rekonsiliasi ppn jurnal bulanan,accounting staff,4000000,2
104,oil,pt artha permai kencana,pt artha permai kencana sebagai hrd staffjob description legalkontrak pkwt pkwtt kontrak fasilitas kantor dsbperjanjian kerjasama dengan pihak ketiga outshourching dsb pemutusan hubungan kerja mutasi demosi dsbperencanaan dan revisi peraturan perusahaan pengembangan sumber daya manusiaperencanaan dan pelaksanaan kpi key performance indicator perencanaan dan pelaksanaan training untuk sdm dari internal maupun eksternal termasuk mempersiapkan pemesanan akomodasi transportasi dsb pelaksanaan dan pengawasan kegiatan karyawan olah raga yoga badminton futsal wisata outbound leaders meeting dsb menyusun standard operating procedure untuk divisi hrd hrd security ob guest relation dan berkoordinasi untuk sop divisi lain mengevaluasi kinerja divisi melalui evaluasi hasil analisa data sesuai dengan sasaran mutu yang telah disepakati dengan pihak manajemen membuat action plan dari evaluasi hasil analisa data sebelumnya rekrutmenpemasangan iklan koran universitas job fair disnaker website perusahaan jobstreet dsb proses seleksi sortir surat lamaran kerja sesuai dengan kriteria yang dibutuhkan interview tes disc dan penyampaian beberapa psikotes dsb penyusunan dan penjadwalan new employ orientation administrasilaporan absensiperhitungan gaji harian lembur bonus pengiriman uang cuti thr dsbpembuatan aturan dan pengaturan peminjaman mobil permintaan peminjaman pengawasan gps pemakaian bahan bakar klaim biaya perjalanan fasilitas karyawan jatah pulsa bensin sewa kendaraan transportasi dsb penyusunan jadwal kerja ob check list kebersihan pengaturan shift security asuransi karyawanbpjs kesehatan dan bpjs ketenagakerjaanpendaftaran penambahan anggota keluarga pengakhiran pencetakan kartu proses klaim pengarahan dan sosialisasi kepada karyawan mengenai manfaat dan cara penggunaan fasilitas secara maksimal proses klaim asuransi lain misal prudential dan axa,hrd staff,4500000,7
107,retail kontraktor,ptmidi utama indonesia alfamidi cv conindo architama, all in job,estimator drafter ass manager site manager,6000000,4
119,maintenance,pt portek indonesia,,purchasing staff,3500000,5
124,bunker service transportir  transportasi  logistik,pt pelayaran hub maritim indonesia pt andalas mitra bersama pt wahana gemilang samudera raya,pengurusan perijinan perusahaan pelaporan bulan ke kementrian esdm terkait penjualan bbm pelaporan stock bbm bahan bakar minyak kapal pengawasan dokumen kapal pelaporan docking kapal perawatan kapal pegawasan abk kapal penyelesaian masalah hukum legal pada perusahaan pengarsipan dokumen pengurusan perijinan perusahaan pengawasan pengiriman bbm pelaporan bulan ke kementrian esdm terkait pengiriman bbm recruitment driver perawatan armada truck tanki pengawasan stock bbm pengurusan perijinan perusahaan pengurusan perijinan keberangkatan kapal pengawasan perawatan armada kapal pembuatan daftar gaji dan premi terhadap abk pengawasan stock bbm kapal pemberian sanksi terhadap abk recruitment abk pengawasan muatan kapal penyandaran kapal,staff operasional legal manager operasional legal operasional legal ship,2283333,9
127,penjualan keramik dan granit,pt platinum ceramics industry,stationary office membuat permintaan pembelian barang membuat permintaan pembelian asset membuat bukti penerimaan barang jasa issuing barang supllies and household catering refill galon lampu handtowel tissue obat obatan etc office repair and maintenance administrasi invoice outsorching sallary absensi cabang cutt off hari kerja karyawan cutt off hari kerja ass man up approve cuti approve extend cuti adjustment cuti id card id card access door and lift general service air conditioner support kir rekom pkb stnk kendaraan pertanggungjawaban kasbon input form ijin input data karyawan operator telpon extention telephone,staff hrga,3583313,0
