PipelineID,ApplicantID,JobID,StageID
1,3,6,10
2,8,6,10
3,10,1,10
4,11,2,11
5,12,1496,10
6,13,11,11
7,14,4,10
8,4,8,10
9,18,2,10
11,20,3,10
12,21,3,10
13,25,8,10
15,29,7,10
16,30,2,10
17,5,6,10
18,7,6,10
19,62,16,10
20,61,16,10
21,63,16,10
22,64,16,10
23,68,16,10
24,69,16,10
25,60,4,10
26,71,16,10
27,70,8,10
28,72,5,10
29,72,5,10
31,75,16,10
32,95,8,10
33,98,16,10
34,97,16,10
36,104,16,10
37,107,7,10
39,119,16,10
40,124,16,10
41,127,16,10
44,134,4,11
45,131,16,10
46,125,8,10
47,124,4,10
48,140,5,10
49,142,4,10
50,143,6,10
51,144,3,10
53,153,16,10
54,119,5,10
55,172,16,10
56,172,17,10
57,120,5,10
58,176,16,10
59,173,16,10
60,178,16,10
61,128,16,10
62,138,5,10
65,190,5,10
66,193,5,10
67,199,16,10
68,200,16,10
69,202,16,10
70,203,16,10
71,215,5,10
74,233,1,10
75,239,5,10
76,239,1,10
77,239,2,10
78,244,22,10
80,249,5,10
81,251,16,10
85,268,21,10
86,268,6,10
88,271,16,10
91,275,16,10
93,277,16,10
95,281,5,10
96,282,16,10
97,282,17,10
98,279,8,10
99,289,3,10
100,290,14,10
101,304,17,10
105,317,17,10
106,317,21,10
108,317,6,10
109,317,1,10
110,317,2,10
111,317,5,10
112,189,5,10
113,301,5,10
114,320,13,10
115,325,8,10
117,329,16,10
119,322,16,10
120,333,16,10
121,350,16,10
122,353,5,10
124,354,16,10
126,368,16,10
127,371,16,10
128,362,3,10
130,370,16,10
134,295,2,10
135,152,16,10
136,385,16,10
137,347,5,10
138,386,10,10
139,391,21,10
140,391,21,10
142,398,1,10
143,403,5,10
144,403,22,10
146,403,21,10
149,406,16,10
150,406,1,10
151,406,5,10
154,267,22,10
155,267,19,10
156,267,1,10
157,267,3,10
158,367,16,10
159,409,16,10
161,421,16,10
162,422,26,10
164,422,16,10
165,401,8,10
166,417,13,10
167,426,26,10
168,426,16,10
169,425,26,10
170,427,26,10
172,342,16,11
173,428,1,10
174,431,14,10
175,434,27,10
176,434,26,10
177,124,26,10
178,439,26,10
179,390,8,10
180,322,26,10
181,322,28,10
182,445,26,10
183,445,28,10
184,443,27,10
185,443,30,10
186,443,16,10
187,443,26,10
188,443,4,10
189,443,5,10
190,446,27,10
191,448,16,10
192,450,16,10
193,449,29,10
194,454,28,10
195,440,31,10
196,440,30,10
197,440,16,10
198,440,6,10
199,461,26,10
200,461,31,10
201,461,30,10
202,463,26,10
203,457,8,11
205,464,30,10
206,466,26,10
209,455,31,10
210,267,29,10
214,60,26,10
215,472,14,10
216,488,31,10
218,485,30,10
219,485,31,10
220,491,26,10
221,492,14,10
222,124,27,10
223,505,31,10
224,507,28,10
225,511,29,10
