,CityID,Name
0,245,ACEH BARAT
1,246,ACEH BARAT DAYA
2,247,ACEH BESAR
3,248,ACEH JAYA
4,249,ACEH SELATAN
5,250,ACEH SINGKIL
6,251,ACEH TAMIANG
7,252,ACEH TENGAH
8,253,ACEH TENGGARA
9,254,ACEH TIMUR
10,255,ACEH UTARA
11,423,AGAM
12,278,ALOR
13,233,AMBON
14,492,anu2
15,458,ASAHAN
16,297,ASMAT
17,10,BADUNG
18,160,BALANGAN
19,194,BALIKPAPAN
20,263,BANDA ACEH
21,222,BANDAR LAMPUNG
22,4,BANDUNG
23,68,BANDUNG BARAT
24,378,BANGGAI
25,379,BANGGAI KEPULAUAN
26,380,BANGGAI LAUT
27,18,BANGKA
28,19,BANGKA BARAT
29,20,BANGKA SELATAN
30,21,BANGKA TENGAH
31,8,BANGKALAN
32,11,BANGLI
33,85,BANJAR
34,161,BANJAR KALSEL
35,171,BANJARBARU
36,172,BANJARMASIN
37,88,BANJARNEGARA
38,355,BANTAENG
39,41,BANTUL
40,441,BANYUASIN
41,89,BANYUMAS
42,119,BANYUWANGI
43,162,BARITO KUALA
44,173,BARITO SELATAN
45,174,BARITO TIMUR
46,175,BARITO UTARA
47,356,BARRU
48,207,BATAM
49,90,BATANG
50,57,BATANG HARI
51,145,BATU
52,459,BATU BARA
53,406,BAU-BAU
54,69,BEKASI
55,22,BELITUNG
56,23,BELITUNG TIMUR
57,279,BELU
58,256,BENER MERIAH
59,337,BENGKALIS
60,146,BENGKAYANG
61,40,BENGKULU
62,31,BENGKULU SELATAN
63,32,BENGKULU TENGAH
64,33,BENGKULU UTARA
65,187,BERAU
66,298,BIAK NUMFOR
67,267,BIMA
68,483,BINJAI
69,202,BINTAN
70,257,BIREUEN
71,419,BITUNG
72,120,BLITAR
73,91,BLORA
74,52,BOALEMO
75,70,BOGOR
76,121,BOJONEGORO
77,408,BOLAANG MONGONDOW
78,409,BOLAANG MONGONDOW SELATAN
79,410,BOLAANG MONGONDOW TIMUR
80,411,BOLAANG MONGONDOW UTARA
81,391,BOMBANA
82,122,BONDOWOSO
83,357,BONE
84,53,BONE BOLANGO
85,195,BONTANG
86,299,BOVEN DIGOEL
87,92,BOYOLALI
88,93,BREBES
89,435,BUKITTINGGI
90,12,BULELENG
91,358,BULUKUMBA
92,197,BULUNGAN
93,58,BUNGO
94,381,BUOL
95,224,BURU
96,225,BURU SELATAN
97,392,BUTON
98,393,BUTON SELATAN
99,394,BUTON TENGAH
100,395,BUTON UTARA
101,71,CIAMIS
102,72,CIANJUR
103,94,CILACAP
104,29,CILEGON
105,86,CIMAHI
106,73,CIREBON
107,460,DAIRI
108,300,DEIYAI
109,461,DELI SERDANG
110,95,DEMAK
111,7,DENPASAR
112,490,DENPASAR 2
113,87,DEPOK
114,424,DHARMASRAYA
115,301,DOGIYAI
116,268,DOMPU
117,382,DONGGALA
118,347,DUMAI
119,442,EMPAT LAWANG
120,276,ENDE
121,359,ENREKANG
122,325,FAKFAK
123,277,FLORES TIMUR
124,74,GARUT
125,258,GAYO LUES
126,13,GIANYAR
127,54,GORONTALO
128,55,GORONTALO UTARA
129,360,GOWA
130,3,GRESIK
131,96,GROBOGAN
132,42,GUNUNG KIDUL
133,176,GUNUNG MAS
134,484,GUNUNGSITOLI
135,235,HALMAHERA BARAT
136,236,HALMAHERA SELATAN
137,237,HALMAHERA TENGAH
138,238,HALMAHERA TIMUR
139,239,HALMAHERA UTARA
140,163,HULU SUNGAI SELATAN
141,164,HULU SUNGAI TENGAH
142,165,HULU SUNGAI UTARA
143,462,HUMBANG HASUNDUTAN
144,338,INDRAGIRI HILIR
145,339,INDRAGIRI HULU
146,75,INDRAMAYU
147,302,INTAN JAYA
148,2,JAKARTA
149,47,JAKARTA BARAT
150,48,JAKARTA PUSAT
151,49,JAKARTA SELATAN
152,50,JAKARTA TIMUR
153,51,JAKARTA UTARA
154,66,JAMBI
155,303,JAYAPURA
156,304,JAYAWIJAYA
157,123,JEMBER
158,14,JEMBRANA
159,361,JENEPONTO
160,97,JEPARA
161,124,JOMBANG
162,326,KAIMANA
163,340,KAMPAR
164,177,KAPUAS
165,147,KAPUAS HULU
166,98,KARANGANYAR
167,15,KARANGASEM
168,76,KARAWANG
169,203,KARIMUN
170,463,KARO
171,178,KATINGAN
172,34,KAUR
173,148,KAYONG UTARA
174,99,KEBUMEN
175,125,KEDIRI
176,305,KEEROM
177,100,KENDAL
178,407,KENDARI
179,35,KEPAHIANG
180,204,KEPULAUAN ANAMBAS
181,226,KEPULAUAN ARU
182,425,KEPULAUAN MENTAWAI
183,341,KEPULAUAN MERANTI
184,412,KEPULAUAN SANGIHE
185,362,KEPULAUAN SELAYAR
186,46,KEPULAUAN SERIBU
187,413,KEPULAUAN SIAU TAGULANDANG BIARO (SITARO)
188,240,KEPULAUAN SULA
189,414,KEPULAUAN TALAUD
190,306,KEPULAUAN YAPEN
191,59,KERINCI
192,149,KETAPANG
193,101,KLATEN
194,16,KLUNGKUNG
195,396,KOLAKA
196,397,KOLAKA TIMUR
197,398,KOLAKA UTARA
198,399,KONAWE
199,400,KONAWE KEPULAUAN
200,401,KONAWE SELATAN
201,402,KONAWE UTARA
202,166,KOTABARU
203,420,KOTAMOBAGU
204,179,KOTAWARINGIN BARAT
205,180,KOTAWARINGIN TIMUR
206,342,KUANTAN SINGINGI
207,150,KUBU RAYA
208,102,KUDUS
209,43,KULON PROGO
210,77,KUNINGAN
211,280,KUPANG
212,188,KUTAI BARAT
213,189,KUTAI KARTANEGARA
214,190,KUTAI TIMUR
215,464,LABUHANBATU
216,465,LABUHANBATU SELATAN
217,466,LABUHANBATU UTARA
218,443,LAHAT
219,181,LAMANDAU
220,126,LAMONGAN
221,209,LAMPUNG BARAT
222,210,LAMPUNG SELATAN
223,211,LAMPUNG TENGAH
224,212,LAMPUNG TIMUR
225,213,LAMPUNG UTARA
226,151,LANDAK
227,467,LANGKAT
228,307,LANNY JAYA
229,25,LEBAK
230,36,LEBONG
231,281,LEMBATA
232,264,LHOKSEUMAWE
233,426,LIMA PULUH KOTA
234,205,LINGGA
235,269,LOMBOK BARAT
236,270,LOMBOK TENGAH
237,271,LOMBOK TIMUR
238,272,LOMBOK UTARA
239,454,LUBUK LINGGAU
240,127,LUMAJANG
241,363,LUWU
242,364,LUWU TIMUR
243,365,LUWU UTARA
244,128,MADIUN
245,103,MAGELANG
246,129,MAGETAN
247,191,MAHAKAM ULU
248,78,MAJALENGKA
249,349,MAJENE
250,6,MAKASSAR
251,282,MALAKA
252,9,MALANG
253,198,MALINAU
254,227,MALUKU BARAT DAYA
255,228,MALUKU TENGAH
256,229,MALUKU TENGGARA
257,230,MALUKU TENGGARA BARAT
258,350,MAMASA
259,308,MAMBERAMO RAYA
260,309,MAMBERAMO TENGAH
261,351,MAMUJU
262,352,MAMUJU TENGAH
263,353,MAMUJU UTARA
264,421,MANADO
265,468,MANDAILING NATAL
266,283,MANGGARAI
267,284,MANGGARAI BARAT
268,285,MANGGARAI TIMUR
269,327,MANOKWARI
270,328,MANOKWARI SELATAN
271,310,MAPPI
272,366,MAROS
273,275,MATARAM
274,329,MAYBRAT
275,5,MEDAN
276,152,MELAWI
277,153,MEMPAWAH
278,60,MERANGIN
279,311,MERAUKE
280,214,MESUJI
281,223,METRO
282,312,MIMIKA
283,415,MINAHASA
284,416,MINAHASA SELATAN
285,417,MINAHASA TENGGARA
286,418,MINAHASA UTARA
287,130,MOJOKERTO
288,383,MOROWALI
289,384,MOROWALI UTARA
290,444,MUARA ENIM
291,61,MUARO JAMBI
292,37,MUKO MUKO
293,403,MUNA
294,404,MUNA BARAT
295,182,MURUNG RAYA
296,445,MUSI BANYUASIN
297,446,MUSI RAWAS
298,447,MUSI RAWAS UTARA
299,313,NABIRE
300,259,NAGAN RAYA
301,286,NAGEKEO
