,PipelineID,ApplicantID,JobID,StageID
0,1,3,6,10
1,2,8,6,10
2,3,10,1,10
3,4,11,2,11
4,5,12,1496,10
5,6,13,11,11
6,7,14,4,10
7,8,4,8,10
8,9,18,2,10
9,11,20,3,10
10,12,21,3,10
11,13,25,8,10
12,15,29,7,10
13,16,30,2,10
14,17,5,6,10
15,18,7,6,10
16,19,62,16,10
17,20,61,16,10
18,21,63,16,10
19,22,64,16,10
20,23,68,16,10
21,24,69,16,10
22,25,60,4,10
23,26,71,16,10
24,27,70,8,10
25,28,72,5,10
26,29,72,5,10
27,31,75,16,10
28,32,95,8,10
29,33,98,16,10
30,34,97,16,10
31,36,104,16,10
32,37,107,7,10
33,39,119,16,10
34,40,124,16,10
35,41,127,16,10
36,44,134,4,11
37,45,131,16,10
38,46,125,8,10
39,47,124,4,10
40,48,140,5,10
41,49,142,4,10
42,50,143,6,10
43,51,144,3,10
44,53,153,16,10
45,54,119,5,10
46,55,172,16,10
47,56,172,17,10
48,57,120,5,10
49,58,176,16,10
50,59,173,16,10
51,60,178,16,10
52,61,128,16,10
53,62,138,5,10
54,65,190,5,10
55,66,193,5,10
56,67,199,16,10
57,68,200,16,10
58,69,202,16,10
59,70,203,16,10
60,71,215,5,10
61,74,233,1,10
62,75,239,5,10
63,76,239,1,10
64,77,239,2,10
65,78,244,22,10
66,80,249,5,10
67,81,251,16,10
68,85,268,21,10
69,86,268,6,10
70,88,271,16,10
71,91,275,16,10
72,93,277,16,10
73,95,281,5,10
74,96,282,16,10
75,97,282,17,10
76,98,279,8,10
77,99,289,3,10
78,100,290,14,10
79,101,304,17,10
80,105,317,17,10
81,106,317,21,10
82,108,317,6,10
83,109,317,1,10
84,110,317,2,10
85,111,317,5,10
86,112,189,5,10
87,113,301,5,10
88,114,320,13,10
89,115,325,8,10
90,117,329,16,10
91,119,322,16,10
92,120,333,16,10
93,121,350,16,10
94,122,353,5,10
95,124,354,16,10
96,126,368,16,10
97,127,371,16,10
98,128,362,3,10
99,130,370,16,10
100,131,373,8,3
101,134,295,2,10
102,135,152,16,10
103,136,385,16,10
104,137,347,5,10
105,138,386,10,10
106,139,391,21,10
107,140,391,21,10
108,141,395,8,3
109,142,398,1,10
110,143,403,5,10
111,144,403,22,10
112,146,403,21,10
113,149,406,16,10
114,150,406,1,10
115,151,406,5,10
116,154,267,22,10
117,155,267,19,10
118,156,267,1,10
119,157,267,3,10
120,158,367,16,10
121,159,409,16,10
122,161,421,16,10
123,162,422,26,10
124,164,422,16,10
125,165,401,8,10
126,166,417,13,10
127,167,426,26,10
128,168,426,16,10
129,169,425,26,10
130,170,427,26,10
131,172,342,16,11
132,173,428,1,10
133,174,431,14,10
134,175,434,27,10
135,176,434,26,10
136,177,124,26,10
137,178,439,26,10
138,179,390,8,10
139,180,322,26,10
140,181,322,28,10
141,182,445,26,10
142,183,445,28,10
143,184,443,27,10
144,185,443,30,10
145,186,443,16,10
146,187,443,26,10
147,188,443,4,10
148,189,443,5,10
149,190,446,27,10
150,191,448,16,10
151,192,450,16,10
152,193,449,29,10
153,194,454,28,10
154,195,440,31,10
155,196,440,30,10
156,197,440,16,10
157,198,440,6,10
158,199,461,26,10
159,200,461,31,10
160,201,461,30,10
161,202,463,26,10
162,203,457,8,11
163,205,464,30,10
164,206,466,26,10
165,209,455,31,10
166,210,267,29,10
167,211,467,29,2
168,214,60,26,10
169,215,472,14,10
170,216,488,31,10
171,218,485,30,10
172,219,485,31,10
173,220,491,26,10
174,221,492,14,10
175,222,124,27,10
176,223,505,31,10
177,224,507,28,10
178,225,511,29,10
179,226,512,5,10
180,227,514,31,10
181,228,519,28,10
182,231,515,16,10
183,232,515,31,10
184,233,522,26,10
185,234,526,28,10
186,235,528,26,10
187,236,531,26,11
188,237,399,10,10
189,238,399,31,10
190,239,497,13,10
191,240,553,28,10
192,241,495,28,10
193,242,559,13,10
194,243,562,31,10
195,244,562,14,10
196,245,562,21,10
197,246,562,17,10
198,247,562,6,10
199,248,562,5,10
200,249,567,17,10
201,250,567,28,10
202,251,567,14,10
203,252,567,13,10
204,253,575,28,10
205,256,589,13,10
206,257,592,36,11
207,258,599,26,10
208,259,600,36,6
209,260,602,22,10
210,261,603,7,10
211,262,603,5,10
212,263,605,36,10
213,264,607,30,10
214,265,461,35,10
215,266,461,27,10
216,267,529,31,10
217,268,609,31,10
218,269,609,16,10
219,270,609,10,10
220,271,614,26,10
221,272,614,27,10
222,273,617,5,10
223,274,623,31,10
224,275,385,26,10
225,276,626,6,10
226,277,414,31,10
227,278,414,16,10
228,279,414,36,10
229,280,631,28,10
230,281,633,4,10
231,282,633,5,10
232,283,238,16,10
233,284,637,37,10
234,285,641,28,11
235,286,522,16,6
236,287,643,16,10
237,288,418,3,10
238,289,645,31,10
239,290,464,36,6
240,291,647,28,10
241,292,649,36,6
242,293,615,5,10
243,294,614,16,10
244,295,614,4,10
245,296,661,31,10
246,298,661,16,10
247,299,661,6,10
248,300,659,16,10
249,301,659,26,10
250,302,629,30,10
251,303,670,5,10
252,304,621,37,10
253,305,682,14,10
254,306,683,36,10
255,307,684,31,10
256,308,688,26,10
257,309,688,16,10
258,310,688,4,10
259,311,629,31,10
260,312,629,16,10
261,313,694,5,10
262,314,694,26,10
263,315,690,16,10
264,316,696,3,10
265,317,697,35,10
266,318,702,27,10
267,319,709,22,9
268,320,710,35,3
269,321,710,28,10
270,322,714,6,10
271,323,705,35,10
272,324,705,28,10
273,325,715,28,10
274,326,715,16,10
275,327,718,28,10
276,328,718,35,10
277,329,717,31,10
278,330,717,16,10
279,331,724,35,10
280,332,724,28,10
281,333,727,16,10
282,334,727,28,10
283,335,729,14,10
284,336,731,28,10
285,337,743,35,10
286,338,744,16,10
287,339,744,26,10
288,340,748,28,10
289,341,748,16,10
290,342,750,8,3
291,343,728,17,10
292,344,738,19,10
293,345,755,35,10
294,346,765,16,6
295,347,768,30,10
296,348,775,26,10
297,349,777,35,10
298,350,778,35,10
299,351,594,16,9
300,352,594,26,10
301,353,807,35,10
302,354,809,28,10
303,355,409,28,10
304,356,813,36,7
305,357,799,27,10
306,358,799,26,10
307,359,799,16,9
308,360,799,4,10
309,361,799,5,10
310,362,797,35,10
311,363,819,40,11
312,364,820,39,10
313,365,799,6,10
314,366,594,6,10
315,367,724,39,10
316,368,841,16,9
317,369,849,5,10
318,370,850,39,10
319,371,850,28,10
320,372,855,26,10
321,373,866,13,10
322,374,874,28,10
323,375,875,22,11
324,376,873,13,10
325,377,873,17,10
326,379,878,28,10
327,380,878,4,10
328,381,878,5,10
