ApplicantID,DocumentCount
1,1
3,1
4,1
8,1
10,2
11,1
13,1
14,1
18,2
22,10
25,1
26,1
27,3
29,2
61,3
68,3
69,7
70,1
71,3
73,1
75,3
81,1
82,1
95,9
97,1
98,7
99,1
104,1
124,3
125,1
127,1
128,5
134,7
137,2
144,2
148,4
153,7
155,1
172,3
173,3
176,7
178,3
195,3
200,3
202,1
203,1
212,1
232,4
233,1
239,1
241,4
244,2
249,5
251,1
255,5
262,1
267,4
268,6
271,1
273,1
275,2
277,1
279,1
282,2
287,4
289,1
290,2
296,4
301,1
306,2
308,1
317,2
320,6
322,1
325,7
326,2
329,3
331,1
333,5
347,20
352,1
357,4
362,3
367,1
368,5
370,9
373,8
374,1
385,1
386,1
387,1
393,3
395,1
397,1
399,1
400,3
403,4
406,1
414,1
417,3
418,3
422,3
425,8
426,1
427,1
428,1
438,6
439,5
440,4
443,2
445,2
448,3
449,12
450,1
451,1
454,2
457,1
461,3
464,1
473,1
485,4
491,1
492,1
495,3
505,1
507,2
511,2
514,1
515,4
519,7
522,1
526,3
527,4
528,1
529,4
531,8
532,2
534,6
537,1
538,1
542,6
543,1
551,4
553,2
559,1
562,3
566,1
567,1
575,1
577,5
589,4
594,6
598,1
599,7
600,3
603,1
605,4
607,1
609,5
616,1
622,1
623,4
626,1
629,3
630,1
631,5
633,1
635,1
637,1
643,4
646,7
647,6
649,1
653,1
659,1
661,5
663,1
665,2
669,7
670,4
675,1
676,5
684,3
688,1
690,5
697,1
702,11
708,1
709,1
710,9
714,2
715,1
717,5
718,1
721,4
724,1
728,1
729,10
731,1
733,1
738,2
741,1
744,4
748,1
750,6
753,2
754,6
755,3
765,8
767,5
768,2
775,4
777,5
797,11
799,6
800,5
807,1
809,16
813,4
824,1
841,1
850,3
855,7
858,7
866,6
872,1
873,8
875,1
878,2
883,1
886,1
892,2
898,1
910,5
913,3
917,1
937,1
944,7
945,3
946,2
949,1
953,10
967,9
1007,1
1009,3
1010,1
1014,1
1017,3
1021,1
1040,2
1046,1
1051,1
1052,7
1053,1
1054,1
1063,1
1064,1
1069,7
1079,1
1080,12
1081,1
1082,1
1085,1
1086,5
1092,1
1094,4
1101,1
1103,1
1105,1
1108,4
1111,1
1119,6
1120,2
1121,1
1123,1
1125,5
1127,2
1128,7
1132,1
1145,10
1171,1
1207,1
1223,2
1226,1
1236,1
1238,3
1252,1
1267,1
1305,6
1310,6
1312,1
1313,1
1324,1
1338,4
1340,3
1341,1
1359,4
1376,1
1382,1
1390,8
1391,1
1393,2
1414,6
1416,1
1419,1
1425,2
1426,1
1427,1
1439,5
1444,2
1455,1
1464,1
1468,5
1472,1
1501,1
1505,1
1508,1
1515,15
1523,3
1525,1
1528,1
1535,6
1545,1
1555,4
1557,2
1566,2
1567,2
1572,2
1584,6
1586,1
1592,6
1599,6
1613,7
1615,3
1619,6
1627,1
1649,10
1652,1
1656,1
1661,1
1662,1
