ApplicantID,EducationInstituteName,Score,EducationLevelID,MajorID,Degree,YearsOfEducation
1,sman 16 surabaya,2.0,5,13,False,3
3,atmajaya yogyakarta university,3.01,2,7,True,4
4,universitas muhammadiyah sidoarjo,3.37,2,4,True,4
8,stie perbanas malang,0.82,2,7,True,3
10,sma negeri 5 kediri,3.3600000000000003,5,0,False,3
11,airlangga university,3.33,1,2,True,0
13,stts,4.0,3,3,False,0
14,universitas airlangga,3.62,2,6,True,3
18,universitas negeri malang,3.47,2,7,True,3
20,universitas 17 agustus 1945 surabaya,3.54,2,4,True,4
21,politeknik nsc surabaya,3.886,4,4,False,6
22,widya mandala,0.8375,2,7,True,9
25,budi luhur jakarta,3.53,1,4,True,2
26,universitas airlangga,3.26,2,3,True,4
27,unika widya karya malang,3.49,4,5,True,3
28,widya mandala catholic university,3.73,2,7,True,3
29,institut teknologi sepuluh nopember,3.49,2,8,True,2
61,universitas jember,3.04,2,6,True,6
62,universitas dr. soetomo,0.8475,2,0,True,4
63,universitas trunojoyo madura,3.97,2,6,True,3
64,universitas hang tuah surabaya ,0.775,2,3,True,5
67,universitas islam indonesia yogyakarta,3.4,2,6,False,3
68,universitas airlangga,3.58,2,3,True,4
69,universitas airlangga,3.19,2,3,True,8
70,universitas brawijaya,3.61,2,4,True,3
72,the london school of public relations,3.14,2,10,False,5
75,universitas airlangga,3.23,2,3,False,5
82,univ. dr soetomo surabaya,0.78,2,6,True,4
95,politeknik elektronika negeri surabaya,3.7,3,4,True,13
97,universitas islam negeri maulana malik ibrahim malang,3.53,2,3,True,16
98,universitas trunojoyo madura ,3.0,2,3,True,4
107,untag,3.28,2,8,True,4
119,akse widya mandala surabaya,0.635,4,5,True,4
124,bhayangkara surabaya,2.97,2,6,True,4
125,universitas brawijaya,0.9075,2,4,True,3
127,universitas surabaya,3.496,2,6,True,3
128,universitas surabaya,3.03,2,3,True,4
134,universitas brawijaya,3.48,2,6,True,4
137,airlangga,3.15,4,2,True,3
144,universitas kristen petra,0.69,2,4,True,0
148,institut bisnis dan informatika stikom surabaya,3.62,2,4,True,4
153,airlangga university,2.83,2,3,True,6
155,magister kenotariatan universitas brawijaya malang,3.47,1,15,False,9
157,universitas ciputra,2.89,2,3,False,5
172,universitas airlangga surabaya,2.84,2,3,True,6
173,universitas negeri surabaya,3.18,2,3,True,4
176,universitas islam negeri sunan ampel surabaya,3.36,2,3,True,3
178,universitas islam indonesia,0.8375,2,3,True,3
186,pasti - institut teknologi sepuluh november sby,3.28,5,17,True,1
188,stmik yadika bangil,3.64,2,16,True,6
189,universitas merdeka malang,3.3,2,4,True,3
190,universitas brawijaya,0.8575,2,7,True,3
193,universitas katolik widya mandala surabaya,3.49,2,10,False,3
195,universitas kristen petra,0.855,2,0,True,4
