,ApplicantID,Description
0,3,Klub basket Atmajaya termasuk yang paling sering memenangkan berbagai kompetisi reguler mapun nasional
1,22,"TALK SHOW "" MAU NGAPAIN SIH SETELAH LULUS S1"""
2,22,ANALISIS SOSIAL AIDS
3,22,WAJAH BERSIH BEBAS JERAWAT
4,22,CRAFTING BRAND POSITIONING INTO THE CUSTOMER MIND
5,22,SEARCH YOUR BUSINESS TALENT
6,22,MAKING OPPORTUNITIES TO BE A SUCCESSFUL ENTERPRENEUR
7,22,SOSIALISASI KESELAMATAN DAN KESEHATAN KERJA
8,25,Juara 1 SMA 1 Pace IA
9,26,Performance Appraisal Based Key Performance Index (KPI)
10,69,Skor total : 470
11,75,sertifikat elpt dengan skor sebesar 490
12,95,TOEFL ITP lulus dengan skor 480
13,95,Sertifikasi Nasional Badan Nasional Sertifikasi Profesi dalam bidang jaringan komputer dan basis data
14,95,Pelatihan Persiapan TOEFL PENS dan lulus dengan skor 450.
15,97,English for spesific purpose
16,124,Mengikuti Kegiatan komputer
17,134,Special Education for Advocate Profession
18,153,"Graduated with very satisfactory predicate. GPA : 2,83"
19,200,ASSESMENT CENTER ASSESOR CERTIFICATION
20,200,"SHARING SESSION TALENT MANAGEMENT, RETAIN, AND ENGAGEMENT"
21,232,Brevet AB
22,241,Computer for Ms. Office
23,267,Sertifikat BNSP Desain dan Pemrograman Website
24,268,"Cuti 2 tahun karena krja, dan baru lulus S1 tahun  2015"
25,275,UJI KOMPETENSI PERENCANAAN USAHA
26,289,D3 MANAJEMEN INFORMATIKA
27,315,Jurusan Informatika
28,317,TOEFL SCORE 450
29,317,SAP  COURSE 01 OVERVIEW
30,317,SAP AC010 BUSINESS PROCESS IN FINANCIAL ACCOUNTING
31,320,"Course AutoCAD 2D, 3D & 3D Max with V-RAY"
32,320,Course ETABS
33,311,Sertifikasi Profesi Bidang Akuntansi
34,325,TOEFL dengan nilai 510
35,325,Mikrotik MTCNA
36,325,Pemateri Seminar Nasional Bisnis dan Manajemen 3
37,326,BASIC FINANCIAL ACCOUNTING
38,333,Sertifikasi AAJI (Asosiasi Asuransi Jiwa Indonesia)
39,333,Sertifikat praktikum Lembaga Keuangan Syari'ah.
40,333,Sertifikat Praktikum di Kantor Urusan Agama kecamatan Ngoro-Jombang
41,347,JURNALISTIK AND PUBLIC SPEAKING
42,347,BEAUTY CLASS
43,347,TABLE MANNER
44,347,"REKOLEKSI KMK STIKS TARAKANITA, "
45,347,PHOTOGRAPHY
46,347,JAPANESE CLUB
47,347,ENGLISH CLUB
48,347,PROFESSIONAL BREAKTHROUGH IN THE ERA OF MODERN TECHNOLOGY
49,347,"BE PLUS WEEKEND, BUILD YOUR POSITIVE ATTITUDE"
50,353,DIPLOMA
51,362,Network Administrator
52,370,Ijazah S1 Psikologi
53,370,Ijazah SMA
54,370,Ijazah SMP
55,370,Ijazah SD
56,370,Sertifikat TOEFL PBT 480
57,370,Sertifikat Training Stage Hypnosis
58,370,Sertifikat Trainer di Duta Catering Malang
59,370,Sertifikat Workshop How to be Good Recruiter
60,370,Sertifikat Pelatihan Job Analysis
61,295,Teknik informatika
62,385,Deputi Internal Kementerian Hubungan Masyarakat BEM FH UB 2013
63,387,ADMIN PERKANTORAN
64,386,And other certificate
65,406,"Learn about speaking, reading, and writing."
66,406,Microsoft office desktop application
67,406,As a coordinator of Physical Asset Department
68,406,English Course at Pare Village
69,406,One of the best graduate by cumlaude predicate
70,408,TOEFL
71,417,TEST OF ENGLISH PROFICIENCY Total Score 463
72,439,Internship
73,439,English Course for Basic-Intermediate-Advance
74,439,Broadcasting & communication course
75,439,Organisasi independen mahasiswa hukum unair
