,ApplicantEducationID,ApplicantID,DateStart,DateEnd,EducationInstituteName,Score,EducationLevelID,MajorID,Degree
0,1,3,2011-07-01 00:00:00.0000000,2016-01-01 00:00:00.0000000,ATMAJAYA YOGYAKARTA UNIVERSITY,3.01,2,7.0,True
1,2,4,2013-07-01 00:00:00.0000000,2017-10-01 00:00:00.0000000,UNIVERSITAS MUHAMMADIYAH SIDOARJO,3.37,2,4.0,True
2,3,8,2012-10-01 00:00:00.0000000,2016-02-01 00:00:00.0000000,STIE PERBANAS MALANG,328.0,2,7.0,True
3,4,11,0013-07-01 00:00:00.0000000,0016-08-01 00:00:00.0000000,AIRLANGGA UNIVERSITY,3.33,1,2.0,True
4,5,10,2009-05-01 00:00:00.0000000,2012-05-01 00:00:00.0000000,SMA NEGERI 5 KEDIRI,8.4,5,,False
5,6,18,2012-08-01 00:00:00.0000000,2016-02-01 00:00:00.0000000,UNIVERSITAS NEGERI MALANG,3.47,2,7.0,True
6,7,21,2009-06-01 00:00:00.0000000,2012-06-01 00:00:00.0000000,SMK NEGERI 3 SURABAYA,35.5,6,9.0,False
7,8,21,2014-10-01 00:00:00.0000000,2017-10-01 00:00:00.0000000,POLITEKNIK NSC SURABAYA,38.86,4,4.0,False
8,9,20,2013-05-01 00:00:00.0000000,2018-03-01 00:00:00.0000000,UNIVERSITAS 17 AGUSTUS 1945 SURABAYA,3.54,2,4.0,True
9,10,22,2007-08-01 00:00:00.0000000,2011-05-01 00:00:00.0000000,WIDYA MANDALA,335.0,2,7.0,True
10,11,22,2005-08-01 00:00:00.0000000,2007-05-01 00:00:00.0000000,PETRA 1,0.0,5,7.0,True
11,12,22,2003-08-01 00:00:00.0000000,2005-05-01 00:00:00.0000000,PETRA 1,0.0,7,7.0,True
12,13,22,1998-08-01 00:00:00.0000000,2003-05-01 00:00:00.0000000,PETRA 10,0.0,8,7.0,True
13,14,25,2015-08-01 00:00:00.0000000,2017-09-01 00:00:00.0000000,BUDI LUHUR JAKARTA,3.53,1,4.0,True
14,15,26,2011-09-01 00:00:00.0000000,2016-02-01 00:00:00.0000000,UNIVERSITAS AIRLANGGA,3.26,2,3.0,True
15,16,28,2012-07-01 00:00:00.0000000,2016-06-01 00:00:00.0000000,WIDYA MANDALA CATHOLIC UNIVERSITY,3.73,2,7.0,True
16,17,28,2012-06-01 00:00:00.0000000,2012-05-01 00:00:00.0000000,MATER AMABILIS VOCATIONAL HIGH SCHOOL,88.0,6,1.0,False
17,18,29,2015-01-01 00:00:00.0000000,2017-01-01 00:00:00.0000000,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3.49,2,8.0,True
18,19,62,2013-08-01 00:00:00.0000000,2017-08-01 00:00:00.0000000,UNIVERSITAS DR. SOETOMO,339.0,2,,True
19,20,61,2011-07-01 00:00:00.0000000,2017-11-01 00:00:00.0000000,UNIVERSITAS JEMBER,3.04,2,6.0,True
