FunctionPositionID,FunctionPositionName
22,accounting
36,administrasi
35,analyst
48,asst food beverage
42,asst food and beverages manager
33,barista
2,book keeper
23,building manager
53,business development
16,cashier
47,chief accounting
43,chief accounting
52,cook
28,cook
55,cost control
59,crew
34,design graphic
10,driver
20,engineering staff
38,executive housekeeping
39,finance accounting
56,fitout arsitek
44,food and beverages manager
41,food and beverages services
58,front desk agent
26,general affair
49,general cashier account payable
61,general operation
60,general operation
62,graphic design
32,helper
14,hrd
25,it
3,it android programmer
50,it staff
24,legal
65,lokasi
17,maintenance electician
46,manager operational
40,marketing communication
6,marketing executive
21,marketing nomaden
64,marketing software
15,marketing support
1,night audit
37,perencana proyek
13,project officer
18,purchasing
9,receptionist
11,room attendant
19,sales banquet
45,sales executive
51,sales marketing manager
54,sekretaris
5,sekretaris direksi
4,sekretaris legal
7,senior estimator
12,senior hrd
29,spv resto
31,steward
27,teacher
57,tenant relation
30,waiter waitress
8,web programmer
