ProvinceID,ProvinceName
5,bali
9,banten
10,bengkulu
11,di yogyakarta
2,dki jakarta
12,gorontalo
13,jambi
3,jawa barat
7,jawa tengah
1,jawa timur
14,kalimantan barat
15,kalimantan selatan
16,kalimantan tengah
17,kalimantan timur
18,kalimantan utara
8,kepulauan bangka belitung
19,kepulauan riau
20,lampung
21,maluku
22,maluku utara
23,nanggroe aceh darussalam (nad)
24,nusa tenggara barat (ntb)
25,nusa tenggara timur (ntt)
26,papua
27,papua barat
28,riau
29,sulawesi barat
6,sulawesi selatan
30,sulawesi tengah
31,sulawesi tenggara
33,sulawesi utara
32,sumatera barat
34,sumatera selatan
4,sumatera utara
