JobID,JobTitle,FunctionPositionName,EducationLevelName,CityName,ProvinceName,MajorName,Description,Requirement
2775,sekretaris direksi,sekretaris,tidak ada,surabaya,jawa timur,sekretaris,melakukan aktivitas kesekretariatan perusahaan mengupayakan kelancaran pelaksanaan agenda kegiatan direksi memberikan masukan kepada direksi dari aspek hukum yang berkaitan dengan operasionalisasi dan pengembangan usaha perusahaan membuat data base dan menyimpan dokumen asli perusahaan mengkomunikasikan kebijakan perusahaan kepada pihak internal perusahaan mengkomunikasikan kebijakan perusahaan kepada pihak eksternal perusahaan mengkoordinasikan bahan bahan laporan untuk rapat komisaris dan rapat umum pemegang saham menyiapkan laporan secara keseluruan mengenai kegiatan sekrestaris perusahaan secara benar dan tepat waktu,usia maksimal 35 tahun pendidikan minimal s1 jurusan akuntansi komunikasi hukum pengalaman minimal 2 tahun sebagai sekrestaris direksi displin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill tegas dan detail orientied memiliki penampilan yang menarik dan proposional bisa berbahasa mandarin menjadi nilai lebih penempatan di surabaya perempuan belum menikah
2785,staff desain,grafis desain,s1,jakarta,dki jakarta,desain grafis,membuat desain yang menarik untuk kebutuhan perusahaan melakukan pekerjaan sesuai yg diatahkan oleh atasan,usia max 30 tahun pendidikan minimal s1 desain komunikasi visual menguasai aplikasi dasar desain corel photshop pengalaman min 1 tahun terbiasa menggunakan komputer dan internet pengalaman dibidang yg sama lebih disukai terbiasa bekerja dibawah tekanan dan bekerja dengan target bertanggung jawab jujur kreatif
2806,outlet staf,awak kapal,sma,jakarta,dki jakarta,semua jurusan,melakukan greeting kepada customer memberikan menerima orderan cust customer mempersiapkan orderan dari customer menerima kritikan dan saran dari customer membuat laporan terkait ketersediaan bahan dan penjualan,laki laki perempuan usia maksimal 27 tahun good looking kreatif pekerja keras dan disiplin komunikatif dan murah senyum
2879,outlet manajer,awak kapal,sma,jakarta,dki jakarta,sma segala jurusan,mengelola dan memantau operasional pelayanan sehari hari melakukan pengawasan terhadap operasional pelayanan serta pemberian solusi yang terbaik sesuai dengan prosedur yang berlaku melakukan greeting kepada customer memberikan menerima orderan cust customer menerima kritikan dan saran dari customer membuat laporan terkait ketersediaan bahan dan penjualan,laki laki perempuan usia maksimal 27 tahun pengalaman minimal 2 thn kreatif pekerja keras dan disiplin komunikatif dan murah senyum
2933,akuntansi pengawas,akuntansi,s1,jakarta,dki jakarta,akuntansi,mengontrol laporan konstruksi baru mengontrol laporan pembelian barang persediaan mengontrol laporan pengeluaran barang persediaan mengawasi prosedur operasional di dalam system wwm acc disiplin membuat laporan keuangan melakukan audit internal menghandle tax,max 30 tahun minimal pendidikan s1 ekonomi dan akuntansi memiliki pengalaman miniman 3 tahun di bidang yang sama minimal ipk 3 0 bahasa inggris aktif pasif good computer skill microsoft office outlook pdf menguasai accounting system accurate sap jurnalid zahir mayob dll menguasai administrasi perkantoran menguasai transaksi bank menguasai pph 21 22 23 24 25 26 29 dan ayat 2 menguasai ppn 10 menguasai pb 1 bersedia bekerja mobile dan siap bekerja dibawah tekanan terbiasa menggunakan aplikasi accounting dan microsoft excel memiliki sertifikat brevet dan menjadi nilai lebih jujur bertanggungjawab disiplin detail teliti tegas memiliki jiwa pemimpin
2958,hukum manajer,hukum,buruk,jakarta,dki jakarta,hukum,memahami dan mampu mempersiapkan persyaratan jual beli dan perikatan dengan bank dan sanggup melaksanakan prosesnya dalam hal ini bagian legal kerjasama dengan notaris ppat yang ditunjuk untuk melaksanakan jual beli dan melengkapi persyaratan akad kredit sesuai ketentuan bank kreditur mengkoordinir staf legal agar pekerjaan berjalan sesuai dengan arahan atasan mensupport dan mengelolah dokumen perusahaan khususnya yang berhubungan dengan perjanjian kerjasama maupun legal contract mereview legal contract perjanjian kerjasama dan dokumen legal lain yang berhubungan dengan project perusahaan dimana ditempatkan melakukan tugas clerical secara umum termasuk tetapi tidak terbatas pada fotocopy faks surat menyurat dan filling dokumen menguasai pembuatan dan review surat perjanjian beserta monitoring validitasnya penyelesaian sengketa hukum perusahaan memahami dengan baik undang undang dan segala peraturan pertanahan hukum perpajakan dan peraturan yang berhubungan dengan pembangunan proyek properti pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan,usia maksimal 35 tahun pendidikan s2 hukum lebih diutamakan pengalaman minimal 2 tahun sebagai legal supervisor koordinator legal berpengalaman di perusahaan property lebih diutamakan tegas target oriented memiliki sertifikat peradi advokat disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill
2963,qc lapangan,operasi umum,smk,jakarta,dki jakarta,teknik sipil,melakukan qc terhadap hasil pekerjaan subkon minimal 3 hari sekali progress pek di lapangan melakukan qc utk bast maksimal 3 hari setelah pekerjaan selesai melakukan survey titik atau req rab marketing maksimal 3 3 hari setelah permintaan memo dr marketing atau spk aset,kandidat harus memiliki setidaknya s1 semua jurusan laki laki usia 20 sd 30 tahun bahasa inggris aktif menguasai microsoft office autocad internet sketch up sap intermediate paham membaca gambar struktur rab kerja customer satisfaction oriented bersedia bekerja di bawah tekanan fast respon diluar jam kerja problem solving dan decision making mengenai teknik pekerjaan konstruksi sehat jasmani dan rohani sering bekerja di lapangan
2966,supervisor pajak,akuntansi,s1,jakarta,dki jakarta,akuntansi,usia maksimal 35 tahun pendidikan minimal s1 akuntansi diutamakan pengalaman sebagai supervisor pajak minimal 3 tahun disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill detail target oriented penempatan di jakarta,mengusai sistem accounting menguasai system laporan keuangan mengawasi dan mengkoordinasikan pengumpulan data bukti transaksi hingga pelaporan pajak perusahaan menguasai laporan perpajakan ppn pph 21 pph 22 pph 23 pph final pph badan dapat melakukan tax planning dan menguasai regulasi perpajakan yang berlaku memastikan rekonsiliasi akun akun pajak bulanan perhitungan penyusunan fiscal perhitungan pph badan bulanan dilaporkan secara tepat dan akurat ke accounting memastikan semua data dan dokumen perpajakan terarsip dengan baik dan rapih
2981,pengembangan penelitian staf,pengembangan bisnis,s1,jakarta,dki jakarta,semua jurusan,melakukan negosiasi dengan pemilik lahan swasta maupun corprate mereview lokasi media iklan saat akan dilakukan perpanjangan membuat surat menyurat untuk pihak eksternal menyiapkan dokumen untuk pengajuan pembayaran sewa familiar dengan bussines development,laki laki atau perempuan usia maksimal 35 tahun memiliki kemampuan analisa yang kuat memiliki kemampuan negosiasi yang baik mampu bekerja dibawah tekanan bersedia bekerja mobile
2984,urusan umum staf,urusan Umum,SAYA,jakarta,dki jakarta,semua jurusan,melakukan administrasi berkas berkas tidak melakukan check list driver penjadwalan driver melakukan dan menjadwal pebaikan kendaraan,laki laki maksimal usia 30 th minimal pendidikan diploma atau sederajat setidaknya memiliki pengalaman 1 tahun sebagai ga multitasking dan mau belajar memiliki pengetahuan mengenai vehicle kendaraan memiliki sim memiliki kemampuan analisa dan administrasi yang baik siap bekerja dibawah tekanan
