ApplicantID;Position;JobDescription
1;staff hrd freelance drafter;pembuatan kontrak kerja penilaian kinerja karyawan rekap absensi karyawan cabang data entry email latter arsip dokumen update biodata karyawan hardcopy dan softcopy indentitas karyawan ktp ijazah sim bpjs npwp dll responsible to make shop drawing and assbuild drawing in responsible to drawing interior building and landscape responsible to check suitability project field with the shop drawing responsible to finishing render using photoshop or corelddraw
3;sales executive whole sales credit marketing officer;maintenance dealer cek stock dealer apakah masih tersedia melakukan analisa untuk penempatan promotor di sebuah dealer melakukan push kepada promotor dan membantu promotor untuk meningkatkan penjualan sell out melakukan kerjasama dengan pihak sekolah untuk menjual merchandise dr product dbl melakukan penjualan ke komunitas komunitas basket surabaya melakukan analisa kelayakan kredit mobil konsumen input data konsumen maintenance dealer dengan baik memonitor penjualan
10;marketing - administrasi;bertugas sebagai marketing yang juga merangkap sebagai administrasi event
18;staff bagian statistik owner administrasi dan tentor;membuat berkas sensus pemutakhiran basis data terpadu pbdt membuat dan mengupload poster sensus pertanian membuat rencana strategis renstra kabupaten trenggalek ntry data survei penduduk antar sensus supas membuat katalog publikasi statistik daerah kabupaten trenggalek ntry data sensus pemutakhiran basis data terpadu pbdt segala administrasi bimbel meliputipelayanan konsultasi pendaftaran siswa baru pembayaran siswa penggajian tentor penjadwalan siswa dan tentor tentor mata pelajaran matematika pembayaran siswa dan penggajian tentor penjadwalan siswa dan tentor tentor matematika untuk tingkat smp sma dan intensif sbmptn segala administrasi bimbel
21;java web developer android developer (native);scope of responsibility analysing and develop property management system that focused on front office and housekeeping module bug fixing existing module training and system implementation technology stack java maven spring framework hibernate framework mysql jsp jquery jasper report glassfish git scope of resposibility create android apps from customers and modify existing apps if there are additional features technology stack java android studio firebase notification realm viper architecture git scrum
22;asisten dosen supervisor;mengajar ekonomi manajerial
25;junior progammer progammer and analyst ;trouble shooting computer programmer maintenace progam trouble shooting computer programmer maintenace progam analyst progam
27;checker;mengerjakan laporan rekonsiliasi farm koordinasi dengan pihak farm terkait jadwal doc dan panen memeriksa transaksi pembayaran beserta bukti buktinya mengerjakan laporan payroll karyawan farm membuatkan bkk bkm mengerjakan hutang dan piutang terkait biaya operasinal farm update karyawan
28;marketing trainee customer representative/account manager;following up every complaints coordinating with qa and salesmen for every complaints making summary report on how is the performance of complaint handling as well as partner performance which support the operational of the company present the report to the management at the end of training handling overseas accounts starting from placing order until making shipment planning communicate directly to customers and reporting to department manager making sure every pos are on time by monitoring the factory meeting with clients for every qc inspections for new products
67;staff magang staff magang;turut serta dalam melakukan pelayanan hukum membantu advokat dalam melakukan pekerjaannya
69;tester operator komputer;
70;web developer tim pengembang;membuat website yg terintegrasi dgn database untuk pengadaan barang membuat dan mengimplementasikan algoritma penjaminan kualitas data online monitoring kualitas air pada website
71;admin & hrd hrd;payroll evaluasi karyawan surat menyurat payroll pengurusan bpjs karyawan surat menyurat karyawan pengurusan ke depnaker pengurusam adm karyawan data data karyawan
81;account manager;sebagai account manager yang menangani penjualan dan menjaga terjadinya komplain serta mengatasi komplain dari customer di bidang korporasi dan bisa goverment
97;freeline tester hrd r&a off;freeline job melakukan rekrutmen dan seleksi sdm menyediakan sdm sesuai dengan kwalifikasi yang di butuhkan oleh perusahaan melakukan psikotes skoring dan administrasi psikotes melakukan rekrutmen sdm melakukan seleksi sdm psikotes dan administrasi psikotes membuat penilaian kerja kpi sdm secara berkala menyiapkan offering loc dan kontrak kerja sdm bertanggungjawab atas pemenuhan mpp tiap divisi dan cabang melakukan input data ke ksystem perusahaan administrasi berkas sdm sesuai dengan standart perusahaan
99;accounting staff;hutang dagang entry data pembelian dan penjualan rekonsiliasi ppn jurnal bulanan
