JobID;JobTitle;DescriptionRequirement
1;night audit;under asst front office manager at gunawangsa hotel merr surabaya with year minimum experiences in the same position has experiences with power pro hotel system preferable domicile in surabaya and surrounding areas good personality attitude passionate loyal willing to become key player in dynamic team able to work under pressure
2;book keeper;becoming book keeper for gunawangsa hotel merr bachelor degree of accounting with years minimum experiences in the same position has experiences with power pro hotel system preferable domicile in surabaya and surrounding areas good personality attitude passionate loyal willing to become key player in dynamic team able to work under pressure
3;it android programmer;developing of android application and their integration with back end services in accordance with user requirements analyzing and optimizing application code for efficiency reability and performance usia maksimal tahun minimal pendidikan it atau sistem informasi menguasai pemprograman khusunya tentang android asp net mvc dll fresh graduate wellcome siap kerja team ulet kreatif dan rajin
4;sekretaris legal;melakukan tugas kesekretariatan menggunakan terminologi prosedur dan dokumen hukum menyiapkan dokumen dan korespondensi hukum seperti surat panggilan keluhan isyarat dan panggilan dari pengadilan menyiapkan dan memproses dokumen dan surat surat hukum seperti surat panggilan panggilan dari pengadilan keluhan permohonan banding mosi dan perjanjian praperadilan mengorganisir dan memelihara perpustakaan hukum dokumen dan file kasus membuat jadwal dan janji pendidikan minimal hukum usia maksimal tahun pengalaman kerja min thn pengalaman membuat konsep dan koreksi surat surat perjanjian kontrak kerjasama dan yang sejenisnya siap kerja under pressure penampilan menarik mampu berbahasa inggris aktif dan pasif penempatan surabaya
5;sekretaris direksi;bantu handle pekerjaan atasan membuat surat menyurat mengatur jadwal atasan usia maksimal tahun pendidikan min semua jurusan jurusan sekretaris lebih disukai pengalaman kerja minimal tahun dibidang yang sama lebih disukai bisa bahasa inggris aktif bisa bahasa mandarin berpenampilan menarik sopan rapi inisiatif tinggi dan komunikatif mampu bekerja secara multitasking memiliki time task management yang baik mampu bekerja dengan target dan deadline pekerja keras dan tahan terhadap tekanan memiliki disiplin dan etika yang tinggi
6;marketing executive;mencari para calon klien yang prospektif mengembangkan dan merealisasikan rencana penjualan dan tergetnya melakukan penawaran harga dan negosiasi dengan klien dll usia maksimal tahun pendidikan minimal semua jurusan memiliki pengalaman bekerja minimal tahun dibidang yang sama memiliki networking yang luas memiliki kendaraan sendiri lebih diutamakan memiliki sim lebih disukai penempatan surabaya
7;senior estimator;membuat perhitungan rencana anggaran biaya rab membuat perhitungan harga upah kerja progress kerja membuat time schedule usia maksimal tahun pendidikan teknik sipil pengalaman sebagai estimator drafter min tahun memiliki pengetahuan mengenai konstruksi bilboard dll mampu membuat rab rap dan analisa harga dapat bekerja secara team atau individu tanggung jawab kreatif dan inisiatif
8;web programmer;membuat aplikasi sesuai dengan kebutuhan perusahaan termasuk existing aplikasi mewujudkan desain web menjadi system yang berfungsi dengan baik usia maksimal tahun pendidikan teknik informatika ilmu komputer pengalaman minimal tahun dalam membangun aplikasi web menguasai pemograman php html my sql dll penempatan surabaya
10;driver;merawat kebersihan mobil kantor antar dan jemput karyawan saat ada keperluan kantor laki laki usia maks tahun pendidikan min sma smk sederajat mempunyai sim berpengalaman dibidang yang sama min tahun hafal rute jalan kota surabaya displin jujur dan cekatan mampu berkoordinasi dan berkomunikasi baik dengan tim berpenampilan menarik
11;source &aplicant jobs;description testing job untuk pekerjaan aplicant dan source requirement testing job untuk pekerjaan aplicant dan source
