ApplicantID,DateFrom,DateTo,Industry,Position,Salary,ExpectedSalary,Age,EducationLevelName,MajorName
3,2016-04-01,2017-04-01,Telekomunikasi,Sales Executive,3000000.0,4000000.0,29,S1,SEMUA JURUSAN
3,2017-04-01,2017-07-01,Retail,Whole Sales,3800000.0,4000000.0,29,S1,SEMUA JURUSAN
3,2017-08-01,2018-03-01,Service,Credit Marketing Officer,4200000.0,4000000.0,29,S1,SEMUA JURUSAN
18,2015-05-01,2015-06-01,Pemerintahan,Staff Bagian statistik,900000.0,0.0,0,S1,SEMUA JURUSAN
18,2016-08-01,2017-11-01,Pendidikan,Administrasi dan Tentor,1200000.0,0.0,0,S1,SEMUA JURUSAN
18,2015-12-01,2018-02-01,Pendidikan,Owner,1500000.0,0.0,0,S1,SEMUA JURUSAN
21,2014-06-01,2016-12-01,IT,Java Web Developer,3000000.0,4500000.0,29,D3,TEKNIK INFORMATIKA
21,2017-02-01,2018-02-01,IT,Android Developer (Native),3600000.0,4500000.0,29,D3,TEKNIK INFORMATIKA
22,2010-02-01,2011-01-01,PENDIDIKAN,ASISTEN DOSEN,1500000.0,7000000.0,33,S1,SEMUA JURUSAN
22,2011-06-01,2014-03-01,MANUFAKTUR,SUPERVISOR,5500000.0,7000000.0,33,S1,SEMUA JURUSAN
25,2014-12-01,2016-02-01,Software House,Junior progammer,4000000.0,5000000.0,33,S2,TEKNIK INFORMATIKA
25,2016-05-01,2018-01-01,Software House,Progammer and analyst ,5000000.0,5000000.0,33,S2,TEKNIK INFORMATIKA
28,2016-08-01,2018-01-01,"Trading, Export Furniture",Customer Representative/Account Manager,4000000.0,5000000.0,0,S1,SEMUA JURUSAN
27,2014-05-01,2018-05-01,PETERNAKAN,CHECKER,4500000.0,5000000.0,32,D3,SEKRETARIS
69,2017-07-01,2017-10-01,Digital Printing,operator komputer,900000.0,4000000.0,28,S1,PSIKOLOGI
69,2013-06-01,2014-06-01,konsultasi Pendidikan,Tester,150000.0,4000000.0,28,S1,PSIKOLOGI
70,2016-10-01,2017-01-01,Teknologi,Web Developer,2000000.0,5000000.0,28,S1,TEKNIK INFORMATIKA
70,2017-07-01,2017-08-01,Teknologi,Tim Pengembang,1000000.0,5000000.0,28,S1,TEKNIK INFORMATIKA
97,2016-07-01,2016-11-01,Consulting,Freeline Tester,1000000.0,3850000.0,29,S1,PSIKOLOGI
97,2016-12-01,2018-02-01,Retail / Ekspedisi / Furniture / Properti / Finance,HRD R&A Off,3850000.0,3850000.0,29,S1,PSIKOLOGI
107,2008-06-01,2012-06-01,RETAIL,"ESTIMATOR, DRAFTER, ASS MANAGER",5000000.0,8000000.0,35,S1,TEKNIK SIPIL
119,2007-07-01,2012-11-01,maintenance,Purchasing Staff,3500000.0,3500000.0,40,D3,SEKRETARIS
124,2008-04-01,2015-10-01,Bunker service,Staff Operasional / Legal,1850000.0,4000000.0,39,S1,HUKUM
124,2015-10-01,2016-11-01,Transportir ,Manager Operasional / Legal,2000000.0,4000000.0,39,S1,HUKUM
124,2016-12-01,2017-12-01,Transportasi / Logistik,Operasional / Legal Ship,3000000.0,4000000.0,39,S1,HUKUM
128,2014-04-01,2016-05-01,jasa,Freelance Crew,2500000.0,3600000.0,0,S1,PSIKOLOGI
128,2014-05-01,2015-09-01,General Kontraktor,Freelance Marketing ,3000000.0,3600000.0,0,S1,PSIKOLOGI
172,2015-04-01,2018-04-01,PERBANKAN,CUSTOMER SERVICE,4600000.0,4000000.0,32,S1,PSIKOLOGI
176,2016-03-01,2018-03-01,OUTSORCING,STAFF RECRUITMENT,2200000.0,4000000.0,29,S1,PSIKOLOGI
178,2015-09-01,2016-12-01,Konsultan,Asisten konsultan,4000000.0,5000000.0,30,S1,PSIKOLOGI
189,2015-09-01,2016-06-01,Real Estate,Personal Assistant,3500000.0,4000000.0,34,S1,TEKNIK INFORMATIKA
189,2015-03-01,2015-06-01,Tourism,Personal Assistant,2500000.0,4000000.0,34,S1,TEKNIK INFORMATIKA
189,2012-07-01,2014-12-01,Education,General Admin,1700000.0,4000000.0,34,S1,TEKNIK INFORMATIKA
193,2016-06-01,2016-08-01,"Sport, School",Marketing Communication,1500000.0,4500000.0,26,S1,KOMUNIKASI
202,2009-05-01,2014-08-01,PERDAGANGAN,PURCHASING,3250000.0,4000000.0,37,S1,HUKUM
203,2013-02-01,2014-04-01,Dinas Sosial,Trainer,2000000.0,4500000.0,32,S1,PSIKOLOGI
